	0.55	0.633	0.694	0.86	1.06
114	1.5175E-02	1.5514E-02	1.5713E-02	1.5822E-02	1.6172E-02
115	1.5042E-02	1.5379E-02	1.5576E-02	1.5686E-02	1.6035E-02
116	1.4923E-02	1.5259E-02	1.5454E-02	1.5563E-02	1.5912E-02
117	1.4817E-02	1.5151E-02	1.5344E-02	1.5454E-02	1.5801E-02
118	1.4723E-02	1.5057E-02	1.5247E-02	1.5357E-02	1.5704E-02
119	1.4642E-02	1.4974E-02	1.5165E-02	1.5272E-02	1.5617E-02
120	1.4573E-02	1.4905E-02	1.5094E-02	1.5200E-02	1.5543E-02
121	1.4518E-02	1.4847E-02	1.5036E-02	1.5138E-02	1.5480E-02
122	1.4473E-02	1.4802E-02	1.4989E-02	1.5089E-02	1.5428E-02
123	1.4440E-02	1.4767E-02	1.4954E-02	1.5049E-02	1.5386E-02
124	1.4418E-02	1.4745E-02	1.4929E-02	1.5020E-02	1.5355E-02
126	1.4409E-02	1.4731E-02	1.4910E-02	1.4992E-02	1.5322E-02
128	1.4444E-02	1.4762E-02	1.4934E-02	1.5005E-02	1.5327E-02
129	1.4477E-02	1.4794E-02	1.4962E-02	1.5025E-02	1.5342E-02
130	1.4522E-02	1.4835E-02	1.5000E-02	1.5054E-02	1.5368E-02
131	1.4578E-02	1.4887E-02	1.5048E-02	1.5093E-02	1.5401E-02
132	1.4643E-02	1.4950E-02	1.5106E-02	1.5141E-02	1.5443E-02
134	1.4806E-02	1.5105E-02	1.5251E-02	1.5264E-02	1.5552E-02
136	1.5012E-02	1.5300E-02	1.5436E-02	1.5420E-02	1.5694E-02
138	1.5258E-02	1.5534E-02	1.5660E-02	1.5610E-02	1.5867E-02
139	1.5396E-02	1.5666E-02	1.5785E-02	1.5718E-02	1.5965E-02
140	1.5544E-02	1.5806E-02	1.5920E-02	1.5832E-02	1.6071E-02
141	1.5703E-02	1.5956E-02	1.6062E-02	1.5955E-02	1.6184E-02
142	1.5870E-02	1.6116E-02	1.6211E-02	1.6086E-02	1.6305E-02
143	1.6047E-02	1.6283E-02	1.6368E-02	1.6223E-02	1.6433E-02
144	1.6234E-02	1.6460E-02	1.6533E-02	1.6367E-02	1.6569E-02
145	1.6428E-02	1.6644E-02	1.6705E-02	1.6518E-02	1.6712E-02
146	1.6631E-02	1.6836E-02	1.6884E-02	1.6675E-02	1.6863E-02
147	1.6842E-02	1.7036E-02	1.7068E-02	1.6838E-02	1.7022E-02
148	1.7060E-02	1.7242E-02	1.7260E-02	1.7008E-02	1.7189E-02
149	1.7283E-02	1.7454E-02	1.7459E-02	1.7183E-02	1.7365E-02
150	1.7511E-02	1.7670E-02	1.7663E-02	1.7366E-02	1.7550E-02
151	1.7741E-02	1.7889E-02	1.7872E-02	1.7556E-02	1.7745E-02
152	1.7973E-02	1.8111E-02	1.8085E-02	1.7753E-02	1.7951E-02
153	1.8205E-02	1.8333E-02	1.8303E-02	1.7957E-02	1.8168E-02
154	1.8436E-02	1.8556E-02	1.8522E-02	1.8167E-02	1.8396E-02
156	1.8890E-02	1.9002E-02	1.8966E-02	1.8604E-02	1.8888E-02
158	1.9329E-02	1.9441E-02	1.9407E-02	1.9060E-02	1.9422E-02
160	1.9743E-02	1.9871E-02	1.9836E-02	1.9518E-02	1.9978E-02
162	2.0145E-02	2.0295E-02	2.0255E-02	1.9949E-02	2.0504E-02
164	2.0577E-02	2.0744E-02	2.0689E-02	2.0330E-02	2.0947E-02
166	2.1145E-02	2.1312E-02	2.1231E-02	2.0723E-02	2.1362E-02
168	2.1974E-02	2.2119E-02	2.2020E-02	2.1266E-02	2.1897E-02
170	2.3141E-02	2.3229E-02	2.3068E-02	2.2026E-02	2.2619E-02
172	2.4644E-02	2.4634E-02	2.4380E-02	2.2991E-02	2.3505E-02
174	2.6359E-02	2.6216E-02	2.5841E-02	2.4055E-02	2.4442E-02
176	2.8007E-02	2.7704E-02	2.7188E-02	2.4967E-02	2.5165E-02
177	2.8664E-02	2.8272E-02	2.7679E-02	2.5238E-02	2.5333E-02
178	2.9129E-02	2.8659E-02	2.8002E-02	2.5367E-02	2.5383E-02
179	2.9434E-02	2.8921E-02	2.8227E-02	2.5492E-02	2.5504E-02
180	2.9599E-02	2.9083E-02	2.8385E-02	2.5643E-02	2.5686E-02
